"Stadt-Kreis-Quartier","Alle Bauzonen #1","Wohnzone 2","Wohnzone 3","Wohnzone 4","Wohnzone 5","Quartiererhaltungszonen","Zentrumszonen","Kernzonen","Industriezonen"
"Ganze Stadt","471228.77","118450.96","116582.94","46266.2","12633.66","42289.36","113471.05","14306.72","7227.88"
"Kreis 1","3881.2","0","0","0","0","164","172","3545.2","0"
"Rathaus","1349.58","0","0","0","0","0","0","1349.58","0"
"Hochschulen","765","0","0","0","0","164","0","601","0"
"Lindenhof","286.12","0","0","0","0","0","0","286.12","0"
"City","1480.5","0","0","0","0","0","172","1308.5","0"
"Kreis 2","32377.72","10149.52","10112.85","4339.6","305.68","0","4999","2471.07","0"
"Wollishofen","18709.67","5991","3820.99","3593","305.68","0","4999","0","0"
"Leimbach","6088.55","2532","3449.48","0","0","0","0","107.07","0"
"Enge","7579.5","1626.52","2842.38","746.6","0","0","0","2364","0"
"Kreis 3","44096.07","3114.38","6074.39","5519.66","7108","9140.04","13139.6","0","0"
"Alt-Wiedikon","23419.21","813","2654.66","4320.66","0","2491.29","13139.6","0","0"
"Friesenberg","2599.38","2301.38","298","0","0","0","0","0","0"
"Sihlfeld","18077.48","0","3121.73","1199","7108","6648.75","0","0","0"
"Kreis 4","12662.66","0","0","0","118.4","12544.26","0","0","0"
"Werd","3149.6","0","0","0","0","3149.6","0","0","0"
"Langstrasse","9058.44","0","0","0","0","9058.44","0","0","0"
"Hard","454.62","0","0","0","118.4","336.22","0","0","0"
"Kreis 5","71977.74","0","0","0","2683.43","4997.03","62942.68","1354.6","0"
"Gewerbeschule","4997.03","0","0","0","0","4997.03","0","0","0"
"Escher Wyss","66980.71","0","0","0","2683.43","0","62942.68","1354.6","0"
"Kreis 6","23819.13","8701.39","11533.41","2250.06","633.37","700.9","0","0","0"
"Unterstrass","12995.08","582","10063.19","1015.62","633.37","700.9","0","0","0"
"Oberstrass","10824.05","8119.39","1470.22","1234.44","0","0","0","0","0"
"Kreis 7","47758.39","33797.14","8272.53","915.82","67.08","3860.09","0","845.73","0"
"Fluntern","12145.98","9637.38","2508.6","0","0","0","0","0","0"
"Hottingen","15187.09","8947.24","2227.83","0","67.08","3860.09","0","84.85","0"
"Hirslanden","8708.28","4256.36","3536.1","915.82","0","0","0","0","0"
"Witikon","11717.04","10956.16","0","0","0","0","0","760.88","0"
"Kreis 8","29120.96","13407.23","6918.67","518.11","0","4563.23","0","3713.72","0"
"Seefeld","5144.86","0","0","0","0","1431.14","0","3713.72","0"
"Mühlebach","15018.29","5885.03","6001.17","0","0","3132.09","0","0","0"
"Weinegg","8957.81","7522.2","917.5","518.11","0","0","0","0","0"
"Kreis 9","35071.03","11158.63","10445.15","5079.92","91.5","0","0","1473.4","6822.43"
"Albisrieden","15372.18","5723.21","5341.57","2589","0","0","0","290.4","1428"
"Altstetten","19698.85","5435.42","5103.58","2490.92","91.5","0","0","1183","5394.43"
"Kreis 10","30249.98","16510.13","6897.45","3091.59","0","2847.81","0","903","0"
"Höngg","17195.15","13612.8","2679.35","0","0","0","0","903","0"
"Wipkingen","13054.83","2897.33","4218.1","3091.59","0","2847.81","0","0","0"
"Kreis 11","122150.46","16861.54","43016.06","24551.44","1626.2","3472","32217.77","0","405.45"
"Affoltern","36576.91","8038.98","9536.32","19001.61","0","0","0","0","0"
"Oerlikon","33718.86","4430.45","13037.17","4907.59","1626.2","2675","6637","0","405.45"
"Seebach","51854.69","4392.11","20442.57","642.24","0","797","25580.77","0","0"
"Kreis 12","18063.43","4751","13312.43","0","0","0","0","0","0"
"Saatlen","5423","3435","1988","0","0","0","0","0","0"
"Schwamendingen-Mitte","10793.94","796","9997.94","0","0","0","0","0","0"
"Hirzenbach","1846.49","520","1326.49","0","0","0","0","0","0"
