id;consumption_2015
1101;7.81
1102;12.9
1103;13.38
1104;10.16
1201;16.94
1202;11.81
1203;34.1
1301;26.1
1302;27.29
1303;10.02
1401;69.47
1402;63.77
1403;9.15
1404;42.38
2101;5.21
2102;10.84
2103;5.49
2104;2.83
2105;4.73
2106;6.41
2107;3.02
2108;15.36
2109;7.33
2110;3.09
2111;1.91
2112;0.3
2301;6.67
2302;3.37
2303;5.97
2401;25.85
2402;42.59
2403;16.16
2404;18.41
2405;8.5
2406;13.36
2407;0.73
3101;12.14
3102;5.65
3103;3.75
3104;11.16
3105;35.59
3106;115.65
3301;2.07
3302;5.31
3303;6.59
3304;4.68
3305;4.35
3306;24.3
3401;9.99
3402;3.65
3403;11.66
3404;7.15
3405;9.68
3406;7.81
3407;9.7
3408;11.94
4101;9.02
4102;19.36
4103;4.44
4201;7.23
4202;4.44
4203;14.47
4204;6.98
4205;19.37
4206;73.27
4401;54.37
4402;16.13
4403;6.5
4404;4.62
4405;6.84
5101;6.59
5102;10.7
5103;14.65
5104;7.53
5105;8.3
5106;5.88
5201;85.21
5202;77.07
5203;54.85
5204;20.36
6101;2.92
6102;2.71
6103;2.35
6104;5.56
6105;3.74
6106;7.23
6107;5.54
6108;7.46
6109;12.84
6110;5.36
6111;4.78
6112;11.21
6113;19.28
6301;40.51
6302;4.75
6303;3.55
6304;52.97
6305;3.83
6306;5.87
6307;2.59
7101;7.19
7102;5.84
7103;7.91
7104;50.63
7105;10.65
7106;8.13
7201;15.04
7202;9.55
7203;5.29
7204;18.64
7205;13.98
7206;4.15
7207;5.75
7301;5.41
7302;7.35
7303;11.56
7401;8.28
7402;6.85
7403;5.2
7404;2.83
7405;1.87
7406;3.6
7407;2.38
8101;17.89
8102;12.26
8103;9.11
8104;0.11
8201;15.94
8202;8.88
8203;6.14
8204;5.88
8301;5.44
8302;6.84
8303;21.94
8304;28.7
9101;2.6
9102;4.31
9103;2.95
9104;13.11
9105;7.92
9106;14.81
9107;14.25
9108;2.64
9109;8.75
9201;5.82
9202;5.87
9203;5.43
9204;6.28
9205;8.82
9206;19.72
9207;20.59
9208;54.8
9209;23.83
9210;11.7
9211;4.07
9212;30.66
9213;45.56
9214;20.55
9215;43.9
9216;20.35
10101;8.98
10102;8.18
10103;8.3
10104;5.41
10105;58.35
10106;4.02
10107;5.92
10108;4.83
10109;8.7
10110;5.67
10201;7.69
10202;7.46
10203;3.76
10204;4.48
10205;7.18
10206;5.23
10207;10.53
11101;8.62
11102;5.27
11103;15.45
11104;12.59
11105;3.89
11106;7.65
11107;11.32
11501;47.89
11502;6.15
11503;10.04
11504;25.94
11505;18.79
11506;15.66
11507;4.63
11508;4.99
11509;4.63
11510;1.02
11901;6.93
11902;6.69
11903;9.18
11904;9.93
11905;2.32
11906;9.99
11907;7.11
11908;6.33
11909;70.83
12101;14.26
12102;6.44
12103;4.05
12201;5.77
12202;7.15
12203;9.52
12204;4.75
12205;5.69
12301;2.63
12302;9.54
12303;9.22
12304;5.14
